tier,category,item,blocks,status,owner,notes
0,Legal,Prior employment agreements collected (non-compete / non-solicit / NDA),"Which agencies the commercial page may target",not started,Tino,MOST URGENT - Georgia blue-pencils overbroad covenants
0,Legal,Georgia employment attorney reviews those agreements,"Commercial page copy and outreach targets",not started,You + attorney,O.C.G.A. 13-8-50 et seq. - see docs/01 section 5
0,Legal,List of agencies/cities/counties/developers/GCs he had material contact with,"Attorney's non-solicit analysis",not started,Tino,Not for marketing - for the lawyer
0,Legal,Did he hold equity or profit participation at a former employer?,"Raises presumptive restraint to 5 years",not started,Tino,
0,Credentials,Notarized experience letters requested from every former employer,"Utility Manager/Foreman application cannot be filed without them",not started,Tino,Rules 121-2-.08(3) and 121-2-.09(3). Decays with time - ask NOW
1,Legal,Georgia Chapter 41 contractor license - held? class? number?,"Entire residential service list - offering IS contracting in GA",not started,Tino,O.C.G.A. 43-41-2(3). Photo of license is easiest
1,Legal,Georgia Chapter 14 trade license - electrical/plumbing/utility?,"Service list wording",not started,Tino,Answer is probably no; that's fine and expected
1,Legal,Clarify what 'certified' refers to,"Copy - misdemeanor risk with $1000 min fine",not started,Tino,43-41-12(a)(2) + FBPA 10-1-393(b)(5)
1,Legal,Georgia city or county where the office is located,"Occupation tax certificate, zoning, service-area SEO, DBE certifier",not started,Tino,MARTA certifies Fulton/DeKalb/Clayton; GDOT elsewhere
1,Legal,LLC formed? Exact entity name?,"Domain, email, footer, NAP consistency",not started,Tino,Must match license name exactly
1,Legal,EIN,"Commercial track, SAM.gov registration",not started,Tino,
1,Legal,Georgia sales and use tax number (Form CRF-002),"Mandatory for ALL Georgia contractors",not started,Tino,Must file ST-3 MONTHLY even with zero activity
1,Legal,General liability insurance - limits + certificate,"Licensure condition; GC prequalification",not started,Tino,GA board: $300K Residential-Basic / $500K others. Buy $500K
1,Legal,Workers comp policy or filed Form WC-10 exemption,"Licensure condition; GC prequalification",not started,Tino,LLC members COUNT toward the 3-employee threshold
1,Legal,Commercial auto insurance,"GC prequalification",not started,Tino,
1,Legal,Local occupation tax certificate,"Legal operation",not started,Tino,Only ONE needed - where the office is (O.C.G.A. 48-13-6)
1,Identity,Business name decision,"Domain, logo, email, Google profile, everything",not started,You + Tino,Check domain + GA LLC + social handles together
1,Contact,"Honest answer: how fast can he answer a call?","Entire CTA architecture",not started,Tino,See docs/02 - do not accept aspirational answers
2,Contact,Business phone number,"Header, footer, sticky mobile bar",not started,Tino,
2,Contact,Can the number receive SMS?,"Text CTA",not started,Tino,
2,Contact,WhatsApp number,"WhatsApp CTA",not started,Tino,Cheap differentiator - almost no US contractor sites have it
2,Contact,Business email at the domain,"Contact page, forms",not started,You,
2,Contact,Address OR service-area-only decision,"Google Business Profile type, footer NAP",not started,Tino,Home-based businesses can run service-area-only
2,Contact,Service radius + named Georgia cities and neighborhoods,"Service area section, local SEO",not started,Tino,Name them specifically
2,Contact,Business hours + emergency availability,"Footer, GBP",not started,Tino,
2,Identity,Logo,"Header, favicon, capability statement",not started,TBD,May need to commission
2,Identity,Existing online profiles to claim (Google/FB/Angi/Yelp),"Avoid duplicate listings",not started,Tino,Claiming beats creating
